ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
768,Kettlebell Swing to Bottoms Up Horn Grip Goblet Squat,,,Intermediate,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
769,Barbell Single Leg Standing Bent Knee Overhead Press,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1.0,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
770,Double Kettlebell Bottoms Up Clean to Front Rack Squat,,,Advanced,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
771,Single Arm Barbell Bent Press,,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Upper Body,Push,Compound,Unilateral,Grinds
772,Double Kettlebell Bottoms Up Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
773,Double Kettlebell Bottoms Up Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
774,Single Arm Kettlebell Bottoms Up Tactical Snatch ,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
775,Single Arm Kettlebell Bottoms Up Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1.0,None,0,Seated Floor,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
776,Double Kettlebell Bottoms Up Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Seated Floor,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
777,Double Kettlebell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
778,Alternating Double Kettlebell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
779,Single Arm Kettlebell Bottoms Up Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
780,Barbell Overhead Bulgarian Split Squat ,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Pronated,Overhead,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
781,Barbell Bulgarian Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1.0,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Pronated,Overhead,Foot Elevated (Rear),Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
782,Single Arm Barbell Overhead Bulgarian Split Squat ,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Pronated,Overhead,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
783,Double Kettlebell Bottoms Up Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
784,Alternating Double Kettlebell Bottoms Up Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
785,Double Kettlebell Seesaw Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
786,Double Kettlebell Bottoms Up Seesaw Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
787,Bodyweight Standing Wall Angels,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Bodyweight,1.0,None,0,Standing,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
788,Alternating Double Kettlebell Z Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Seated Floor,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
789,Double Kettlebell Seesaw Z Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Seated Floor,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
790,Double Plate Lu Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Infraspinatus,Posterior Deltoids,,Weight Plate,2.0,None,0,Standing,Double Arm,Continuous,Other,Overhead,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Mobility
791,Single Arm Plate Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Weight Plate,1.0,None,0,Standing,Single Arm,Continuous,Flat Palm,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
792,Single Arm Plate Turkish Get Up,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Weight Plate,1.0,None,0,Supine,Single Arm,Continuous,Flat Palm,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
793,Plate Steering Wheel,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,,,Weight Plate,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Isometric Hold,Rotational,,Frontal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Unsorted*
794,Double Kettlebell Bottoms Up Seesaw Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
795,Double Kettlebell Bottoms Up Seesaw Z Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Seated Floor,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
796,Double Kettlebell Bottoms Up Snatch,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
797,Alternating Single Arm Kettlebell Bottoms Up Snatch,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
798,Alternating Single Arm Kettlebell Around the World High Catch,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Anti-Rotational,Knee Dominant,,Transverse Plane,,,Unsorted*,Other,Compound,Unilateral,Unsorted*
799,Alternating Single Arm Kettlebell Tall Kneeling Around the World High Catch,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Tall Kneeling,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Anti-Rotational,,,Transverse Plane,,,Unsorted*,Other,Compound,Unilateral,Unsorted*
800,Single Arm Kettlebell Around the World,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Anti-Rotational,,,Transverse Plane,,,Unsorted*,Other,Compound,Unilateral,Unsorted*
801,Suspension Single Leg Standing Bent Knee Reverse Fly,,,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer,1.0,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Balance
802,Suspension Reverse Fly,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,,,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
803,Suspension Single Leg Standing Bent Knee Y Raise,,,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer,1.0,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Balance
804,Suspension Single Leg Standing Bent Knee Face Pull,,,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,1.0,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Balance
805,Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,,,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,1.0,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Balance
806,Alternating Single Arm Kettlebell Around the World,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Anti-Rotational,,,Transverse Plane,,,Unsorted*,Other,Compound,Unilateral,Unsorted*
807,Single Arm Kettlebell Tall Kneeling Around the World,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Tall Kneeling,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Anti-Rotational,,,Transverse Plane,,,Unsorted*,Other,Compound,Unilateral,Unsorted*
808,Alternating Single Arm Tall Kneeling Around the World,,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Tall Kneeling,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Anti-Rotational,,,Transverse Plane,,,Unsorted*,Other,Compound,Unilateral,Unsorted*
809,Single Arm Kettlebell Waiter Clean,Video Demonstration,Video Explanation,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Waiter Hold,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
810,Single Arm Kettlebell Waiter Clean Hot Potato,,Video Explanation,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Waiter Hold,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
811,Alternating Single Arm Kettlebell Waiter Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Waiter Hold,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
812,Double Kettlebell Waiter Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Waiter Hold,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
813,Double Kettlebell Waiter Clean to Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Waiter Hold,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
814,Single Arm Kettlebell Tactical Waiter Clean,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Waiter Hold,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
815,Single Arm Kettlebell Tactical Waiter Clean to Overhead Press,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Waiter Hold,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
816,Double Kettlebell Waiter Clean to Alternating Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Waiter Hold,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
817,Single Arm Kettlebell Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
818,Alternating Single Arm Kettlebell Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
819,Barbell Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,None,0,Single Leg Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
820,Suspension Cuban Press,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,Horizontal Pull,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
821,Suspension Single Leg Standing Bent Knee Cuban Press,,,Intermediate,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,1.0,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Balance
822,Single Arm Kettlebell Tactical Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
823,Single Arm Barbell Overhead Knee Over Toe Split Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
824,Single Arm Barbell Knee Over Toe Split Squat Thruster,,,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1.0,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
825,Barbell Knee Over Toe Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1.0,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
826,Double Kettlebell Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
827,Double Kettlebell Waiter Clean to Thruster,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Waiter Hold,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
828,Kettlebell Start Stop Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
829,Double Kettlebell Dead Clean,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
830,Single Arm Barbell Bulgarian Split Squat Thruster,,,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1.0,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Pronated,Overhead,Foot Elevated (Rear),Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
831,Single Arm Barbell Windmill,,,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
832,Bodyweight Windmill,Video Demonstration,,Novice,Abdominals,Obliques,,,Bodyweight,1.0,None,0,Standing,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
833,Superband Split Squat Isometric Pallof Press,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Superband,1.0,None,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Rotational,Isometric Hold,,Frontal Plane,,,Full Body,Other,Compound,Unilateral,Balance
